location,lot,stage,sample_rep,test,mean_actualcount_technicalreps,log10count,sl_day
L,L1,D6,2,GN,824010.7914,5.915932899,6
L,L1,D6,3,APC,1673661.071,6.223667515,6
L,L1,D6,3,GN,349720.2238,5.543720748,6
L,L1,D8,1,APC,9267633.042,6.966968829,8
L,L1,D8,1,GN,1803431.295,6.256099602,8
L,L1,D8,2,APC,5318387.609,6.725779986,8
L,L1,D8,2,GN,2532565.528,6.403560691,8
L,L1,D8,3,APC,3920745.562,6.59336866,8
L,L1,D8,3,GN,1035668.639,6.015220826,8
L,L2,D0,1,APC,8357356.828,6.922068945,0
L,L2,D0,1,GN,1826607.93,6.261645339,0
L,L2,D0,2,APC,14791250.5,7.170004892,0
L,L2,D0,2,GN,3008389.932,6.478334127,0
L,L2,D0,3,APC,2071186.576,6.316219223,0
L,L2,D0,3,GN,773575.7091,5.888502824,0
L,L2,D10,1,APC,6273932.988,6.797539876,10
L,L2,D10,1,GN,2233520.144,6.348989874,10
L,L2,D10,2,APC,15832828.69,7.199558513,10
L,L2,D10,2,GN,4624191.235,6.665035786,10
L,L2,D2,1,APC,6359303.018,6.803409519,2
L,L2,D2,1,GN,1371614.376,6.137232028,2
L,L2,D2,2,APC,7001677.316,6.845202092,2
L,L2,D2,2,GN,2925700.879,6.466229922,2
L,L2,D4,1,APC,1226275.531,6.088588062,4
L,L2,D4,1,GN,800832.9996,5.903541961,4
L,L2,D6,1,APC,11459665.21,7.05917193,6
L,L2,D6,1,GN,1868423.675,6.271475362,6
L,L2,D6,2,APC,47231115.11,7.674228199,6
L,L2,D6,2,GN,8746502.798,6.941834439,6
L,L2,D8,1,APC,9136670.663,6.960787971,8
L,L2,D8,1,GN,3504476.419,6.544623142,8
L,L2,D8,2,APC,29854261.25,7.475006329,8
L,L2,D8,2,GN,14049064.12,7.147647395,8
L,L3,D0,1,APC,1896935.096,6.278052472,0
L,L3,D0,1,GN,268100.1603,5.428297074,0
L,L3,D0,2,APC,2897683.706,6.462050979,0
L,L3,D0,2,GN,746902.9553,5.873264178,0
L,L3,D0,3,APC,13750000,7.138302698,0
L,L3,D0,3,GN,2175000,6.337459261,0
L,L3,D10,1,APC,11794109.42,7.071665153,10
L,L3,D10,1,GN,2032601.837,6.308052314,10
L,L3,D10,2,APC,12064089.28,7.081494542,10
L,L3,D10,2,GN,3217090.474,6.507463275,10
L,L3,D10,3,APC,6851991.41,6.83581681,10
L,L3,D10,3,GN,1137875.83,6.056094872,10
L,L3,D2,1,APC,4866926.262,6.687254766,2
L,L3,D2,1,GN,1347764.196,6.129613915,2
L,L3,D2,2,APC,6069230.008,6.783133596,2
L,L3,D2,2,GN,1288163.104,6.109970856,2
L,L3,D2,3,APC,7470503.597,6.873349879,2
L,L3,D2,3,GN,1975251.799,6.295622466,2
L,L3,D4,1,APC,7244786.256,6.860025577,4
L,L3,D4,1,GN,2773004.395,6.442950558,4
L,L3,D4,2,APC,13591653.35,7.13327229,4
L,L3,D4,2,GN,1862559.904,6.27011025,4
L,L3,D4,3,APC,14522057.65,7.162028156,4
L,L3,D4,3,GN,2654031.225,6.423906028,4
L,L3,D6,1,APC,20456123.26,7.310823332,6
L,L3,D6,1,GN,6818707.753,6.833702077,6
L,L3,D6,2,APC,38533731.58,7.585841068,6
L,L3,D6,2,GN,6255475.906,6.796260356,6
L,L3,D6,3,APC,18461673.31,7.266271062,6
L,L3,D6,3,GN,4166350.598,6.619755813,6
L,L3,D8,1,APC,13258449.58,7.122492741,8
L,L3,D8,1,GN,2951881.228,6.470098879,8
L,L3,D8,2,APC,24478542.99,7.388785564,8
L,L3,D8,2,GN,4371168.392,6.640597537,8
L,L3,D8,3,APC,30822434.37,7.488866936,8
L,L3,D8,3,GN,5319355.609,6.725859025,8
